Windspeed (m/s),   Region (-), Rot. Power (kW),  Thrust (kN) ,Gen. Torque (kNm), Rotational Speed (rad/s),  Pitch (rad), OOP Tip Disp. (m),       CP (-),       CT (-), Flap mom. (kNm), Edge mom. (kNm)
    9.500000,            2, 10340.802229,  1499.999995, 16542.032282,     0.603556,     0.012943,    10.226893,     0.427923,     0.589694, -38451.817292,  5711.305415
    9.750000,            2, 10809.544964,  1500.000001, 17275.236617,     0.604137,     0.020347,    10.126830,     0.413774,     0.559823, -38297.130636,  5964.821157
   10.000000,            2, 11268.306199,  1499.999973, 18020.427469,     0.603734,     0.027339,    10.030614,     0.399776,     0.532169, -38149.534317,  6222.070821
   10.250000,            2, 11717.180706,  1500.000001, 18751.051998,     0.603323,     0.034145,     9.938621,     0.386012,     0.506515, -38009.468008,  6474.324801
   10.500000,            2, 12149.154225,  1500.000001, 18974.525690,     0.618198,     0.044511,     9.771197,     0.372312,     0.482661, -37742.151156,  6553.705626
   10.750000,            2, 12556.811070,  1499.999978, 18970.755444,     0.639068,     0.054832,     9.568970,     0.358563,     0.460453, -37417.263789,  6554.271363
   11.000000,            2, 12946.080707,  1499.999991, 18970.685259,     0.658882,     0.063540,     9.369251,     0.345030,     0.439747, -37100.364129,  6554.856160
   11.250000,            2, 13321.044011,  1499.999994, 18971.953392,     0.677920,     0.071104,     9.165221,     0.331869,     0.420410, -36775.730022,  6555.473829
   11.500000,            2, 13683.570529,  1499.999996, 18972.579178,     0.696346,     0.077730,     8.957918,     0.319146,     0.402328, -36447.975401,  6556.125526
   11.750000,            2, 14035.177602,  1499.999996, 18972.466871,     0.714244,     0.083587,     8.746175,     0.306896,     0.385391, -36114.221183,  6556.814924
   12.000000,            2, 14376.526399,  1499.999997, 18972.134743,     0.731628,     0.088813,     8.528479,     0.295124,     0.369507, -35770.292839,  6557.546029
   12.250000,            2, 14708.240978,  1499.999998, 18971.958035,     0.748516,     0.093499,     8.305178,     0.283832,     0.354591, -35417.154768,  6558.318415
   12.500000,            2, 15030.833069,  1500.000000, 18971.962604,     0.764932,     0.097721,     8.076505,     0.273014,     0.340567, -35055.134685,  6559.131903
   12.750000,            2, 15344.760500,  1499.999996, 18972.073891,     0.780904,     0.101547,     7.842055,     0.262658,     0.327366, -34682.995633,  6559.988671
   13.000000,            2, 15535.991655,  1485.836506, 18972.120208,     0.790634,     0.106715,     7.535264,     0.250916,     0.311963, -33968.923972,  6560.899715
   13.250000,            3, 15535.991645,  1450.309689, 18972.120756,     0.790634,     0.114325,     7.134537,     0.237031,     0.293184, -32763.624210,  6561.827897
   13.500000,            3, 15535.991540,  1417.354796, 18972.125276,     0.790634,     0.121638,     6.756107,     0.224158,     0.276072, -31633.132995,  6562.701471
   13.750000,            3, 15535.991625,  1386.650208, 18972.119509,     0.790634,     0.128705,     6.396284,     0.212202,     0.260421, -30565.674093,  6563.524253
   14.000000,            3, 15535.991613,  1357.903870, 18972.118598,     0.790634,     0.135563,     6.052646,     0.201085,     0.246058, -29552.786404,  6564.308317
   14.250000,            3, 15535.991603,  1330.871278, 18972.119248,     0.790634,     0.142228,     5.724203,     0.190737,     0.232836, -28590.126050,  6565.055253
   14.500000,            3, 15535.991590,  1305.373237, 18972.118641,     0.790634,     0.148714,     5.410217,     0.181094,     0.220634, -27674.692144,  6565.766427
   14.750000,            3, 15535.991577,  1281.272446, 18972.118286,     0.790634,     0.155043,     5.109103,     0.172096,     0.209348, -26801.396514,  6566.447758
   15.000000,            3, 15535.991561,  1258.454051, 18972.116963,     0.790634,     0.161238,     4.819023,     0.163689,     0.198888, -25964.363083,  6567.104547
   15.250000,            3, 15535.991733,  1236.817277, 18972.113558,     0.790634,     0.167317,     4.538760,     0.155822,     0.189176, -25159.609697,  6567.738409
   15.500000,            3, 15535.991734,  1216.265379, 18972.113355,     0.790634,     0.173286,     4.268012,     0.148454,     0.180141, -24385.793940,  6568.348471
   15.750000,            3, 15535.991525,  1196.691500, 18972.118657,     0.790634,     0.179145,     4.006947,     0.141546,     0.171719, -23642.710390,  6568.930654
   16.000000,            3, 15535.991516,  1178.004223, 18972.122149,     0.790634,     0.184901,     3.755004,     0.135061,     0.163855, -22928.568903,  6569.490876
   16.250000,            3, 15535.991496,  1160.158931, 18972.119035,     0.790634,     0.190565,     3.510875,     0.128969,     0.156501, -22240.003934,  6570.044305
   16.500000,            3, 15535.946987,  1143.132272, 18972.057983,     0.790634,     0.196153,     3.273086,     0.123240,     0.149621, -21573.159806,  6570.584406
   16.750000,            3, 15535.893676,  1126.861824, 18971.992791,     0.790634,     0.201675,     3.041413,     0.117846,     0.143175, -20926.185009,  6571.105092
   17.000000,            3, 15535.928531,  1111.262649, 18972.035437,     0.790634,     0.207129,     2.816832,     0.112766,     0.137122, -20299.796080,  6571.609850
   17.250000,            3, 15535.991441,  1096.254076, 18972.124299,     0.790634,     0.212509,     2.600455,     0.107977,     0.131428, -19695.319486,  6572.060035
   17.500000,            3, 15535.991425,  1081.823465, 18972.125851,     0.790634,     0.217818,     2.390874,     0.103454,     0.126067, -19111.084076,  6572.469874
   17.750000,            3, 15535.991408,  1068.002103, 18972.125744,     0.790634,     0.223064,     2.184755,     0.099181,     0.121020, -18543.237775,  6572.953005
   18.000000,            3, 15535.880724,  1054.796083, 18971.977026,     0.790634,     0.228256,     1.978830,     0.095141,     0.116271, -17987.874886,  6573.495139
   18.250000,            3, 15535.472806,  1042.151093, 18971.478695,     0.790634,     0.233403,     1.772560,     0.091318,     0.111796, -17443.309710,  6573.966293
   18.500000,            3, 15535.252631,  1029.984152, 18971.209832,     0.790634,     0.238507,     1.570438,     0.087699,     0.107567, -16912.506545,  6574.429203
   18.750000,            3, 15535.343233,  1018.197646, 18971.320481,     0.790634,     0.243564,     1.377323,     0.084270,     0.103560, -16398.495523,  6574.870387
   19.000000,            3, 15535.656851,  1006.709813, 18971.703470,     0.790634,     0.248573,     1.196672,     0.081020,     0.099753, -15902.743000,  6575.279925
   19.250000,            3, 15535.935545,   995.533764, 18972.044223,     0.790634,     0.253538,     1.025502,     0.077938,     0.096138, -15421.756073,  6575.665224
   19.500000,            3, 15535.991267,   984.717855, 18972.122571,     0.790634,     0.258465,     0.858879,     0.075009,     0.092708, -14951.412512,  6576.026740
   19.750000,            3, 15535.969896,   974.315138, 18972.085780,     0.790634,     0.263354,     0.692995,     0.072224,     0.089456, -14490.476381,  6576.416061
   20.000000,            3, 15535.891598,   964.321816, 18971.990471,     0.790634,     0.268200,     0.526650,     0.069576,     0.086372, -14039.604028,  6576.796859
   20.250000,            3, 15535.893067,   954.694429, 18971.992292,     0.790634,     0.273006,     0.361319,     0.067058,     0.083445, -13598.971047,  6577.178998
   20.500000,            3, 15535.983600,   945.395002, 18972.102556,     0.790634,     0.277781,     0.197958,     0.064661,     0.080662, -13166.778664,  6577.558758
   20.750000,            3, 15535.991161,   936.390297, 18972.125784,     0.790634,     0.282536,     0.037368,     0.062377,     0.078011, -12741.243510,  6577.902757
   21.000000,            3, 15535.991139,   927.668662, 18972.126803,     0.790634,     0.287267,    -0.119729,     0.060199,     0.075485, -12323.664337,  6578.259679
   21.250000,            3, 15535.991111,   919.211091, 18972.125711,     0.790634,     0.291959,    -0.272763,     0.058123,     0.073077, -11916.551005,  6578.633341
   21.500000,            3, 15535.991052,   910.998310, 18972.119682,     0.790634,     0.296611,    -0.422045,     0.056142,     0.070778, -11519.874453,  6579.006390
   21.750000,            3, 15535.979327,   903.032497, 18972.097384,     0.790634,     0.301238,    -0.569178,     0.054249,     0.068583, -11129.911674,  6579.359619
   22.000000,            3, 15535.973839,   895.324184, 18972.090689,     0.790634,     0.305851,    -0.714881,     0.052441,     0.066487, -10744.805767,  6579.704988
   22.250000,            3, 15535.981451,   887.864039, 18972.100007,     0.790634,     0.310441,    -0.858314,     0.050714,     0.064486, -10366.770628,  6580.047711
   22.500000,            3, 15535.991593,   880.617078, 18972.114139,     0.790634,     0.314994,    -0.998560,     0.049062,     0.062571, -9997.920703,  6580.384925
   22.750000,            3, 15535.990910,   873.559629, 18972.120372,     0.790634,     0.319519,    -1.136106,     0.047481,     0.060738, -9636.389881,  6580.713432
   23.000000,            3, 15535.990901,   866.702903, 18972.122707,     0.790634,     0.324026,    -1.271867,     0.045968,     0.058981, -9279.653937,  6581.038529
   23.250000,            3, 15535.990861,   860.061285, 18972.121881,     0.790634,     0.328515,    -1.405819,     0.044519,     0.057300, -8928.061160,  6581.367495
   23.500000,            3, 15535.990535,   853.622038, 18972.114682,     0.790634,     0.332980,    -1.537376,     0.043131,     0.055690, -8583.378333,  6581.698549
   23.750000,            3, 15535.977763,   847.352493, 18972.095571,     0.790634,     0.337418,    -1.666467,     0.041800,     0.054145, -8245.514509,  6582.020008
   24.000000,            3, 15535.980300,   841.245143, 18972.098688,     0.790634,     0.341835,    -1.793573,     0.040523,     0.052662, -7912.912067,  6582.336293
   24.250000,            3, 15535.990601,   835.318416, 18972.117156,     0.790634,     0.346239,    -1.919200,     0.039298,     0.051238, -7584.278427,  6582.647447
   24.500000,            3, 15535.990722,   829.574176, 18972.125741,     0.790634,     0.350629,    -2.043134,     0.038123,     0.049873, -7260.257223,  6582.944999
   24.750000,            3, 15535.990706,   823.980694, 18972.129407,     0.790633,     0.354995,    -2.164804,     0.036994,     0.048561, -6942.267079,  6583.231112
   25.000000,            3, 15535.990676,   818.518647, 18972.130664,     0.790633,     0.359334,    -2.284249,     0.035910,     0.047298, -6630.251748,  6583.518824
